实体ID,实体类型,实体名称
E92,病理状态,门脉高压
E93,并发症,肝性脑病
E94,并发症,食管胃底静脉曲张
E95,并发症,肝肾综合征
E96,并发症,自发性细菌性腹膜炎
E97,风险因素,酗酒
E98,风险因素,肥胖
E99,风险因素,病毒感染
E100,风险因素,药物性肝损伤
E101,生活方式,戒酒
E102,生活方式,低盐饮食
E103,生活方式,规律作息
E104,生活方式,适度运动
E105,诊断方法,肝脏超声
E106,诊断方法,CT扫描
E107,诊断方法,MRI检查
E108,诊断方法,肝穿刺活检
E109,诊断方法,血清学检查
E110,药物,抗病毒药物
E111,药物,利尿剂
E112,药物,肝保护剂
E113,药物,免疫抑制剂
E114,预后指标,Child-Pugh评分
E115,预后指标,MELD评分
E116,预后指标,腹水程度
E117,预后指标,凝血功能
E118,护理措施,营养支持
E119,护理措施,皮肤护理
E120,护理措施,并发症预防
E121,心理状态,焦虑
E122,心理状态,抑郁
E123,心理状态,恐惧
E124,中医证型,肝郁气滞
E125,中医证型,肝火上炎
E126,中医证型,肝肾阴虚
E127,中医治疗,中药汤剂
E128,中医治疗,针灸治疗
E129,病毒类型,甲型肝炎病毒
E130,病毒类型,乙型肝炎病毒
E131,病毒类型,丙型肝炎病毒
E132,病毒类型,丁型肝炎病毒
E133,病毒类型,戊型肝炎病毒
E134,预防,疫苗接种
E135,检查,病毒标志物
E136,检查,HBV-DNA定量
E137,分期,代偿期
E138,分期,失代偿期
E139,评分系统,肝纤维化分期
E140,并发症,上消化道出血
E141,并发症,肝性胸水
E142,诊断指标,AFP
E143,诊断指标,AFP-L3
E144,分期系统,BCLC分期
E145,治疗方案,介入治疗
E146,治疗方案,靶向治疗
E147,手术方式,肝段切除
E148,手术方式,肝叶切除
E149,损伤类型,肝细胞损伤型
E150,损伤类型,胆汁淤积型
E151,损伤类型,混合型
E152,评分系统,RUCAM评分
E153,抗病毒药物,恩替卡韦
E154,抗病毒药物,替诺福韦
E155,抗病毒药物,拉米夫定
E156,抗病毒药物,干扰素
E157,抗病毒药物,利巴韦林
E158,治疗方案,联合抗病毒
E159,治疗药物,β受体阻滞剂
E160,治疗药物,螺内酯
E161,治疗方案,内镜下套扎
E162,治疗方案,内镜下硬化
E163,营养支持,支链氨基酸
E164,营养支持,白蛋白补充
E165,手术方案,肝移植评估
E166,介入治疗,TACE
E167,介入治疗,RFA
E168,靶向药物,索拉菲尼
E169,靶向药物,仑伐替尼
E170,治疗药物,泼尼松
E171,治疗药物,硫唑嘌呤
E172,治疗方案,免疫抑制
E173,保肝药物,水飞蓟素
E174,保肝药物,还原型谷胱甘肽
E175,保肝药物,甘草酸制剂
E176,中药制剂,复方甘草酸苷
E177,中药制剂,茵陈蒿汤
E178,生活质量,睡眠质量
E179,生活质量,工作能力
E180,生活质量,社交活动
E181,急救措施,止血
E182,急救措施,降氨
E183,护理措施,伤口护理
E184,护理措施,腹水抽排
E185,康复措施,运动康复
E186,康复措施,饮食指导
E187,康复措施,心理康复
E188,监测指标,凝血酶原时间
E189,监测指标,血氨
E190,监测指标,电解质
E191,并发症,门脉血栓
E192,并发症,肝性糖尿病
E193,并发症,肝肺综合征
E194,并发症,肝骨病
E195,并发症,继发感染
E196,并发症,肝性贫血
E197,并发症,肝癌并发症
E198,并发症,电解质紊乱
E199,并发症,凝血功能障碍
E200,并发症,免疫功能低下
E201,疾病类别,肝脏疾病
E202,疾病分类,病毒性肝病
E203,疾病分类,酒精性肝病
E204,疾病分类,自身免疫性肝病
E205,疾病分类,代谢性肝病
E206,疾病分类,药物性肝病
E207,疾病分类,肿瘤性肝病
E208,疾病特征,急性
E209,疾病特征,慢性
E210,疾病特征,进行性
